DATE,CLOSE,VOLUME
2017.11.16,42.78,469792880000
2017.11.17,42.54,431845560000
2017.11.20,42.50,333365840000
2017.11.21,43.28,524997160000
2017.11.22,43.74,516643000000
2017.11.24,43.71,260425840000
2017.11.27,43.52,438268480000
2017.11.28,43.27,587063800000
2017.11.29,42.37,960473800000
2017.11.30,42.93,675064320000
2017.12.01,42.75,788228080000
2017.12.04,42.44,655606720000
2017.12.05,42.41,550213280000
2017.12.06,42.26,568040800000
2017.12.07,42.33,497769680000
2017.12.08,42.34,503944840000
2017.12.11,43.17,650246400000
2017.12.12,42.94,385416720000
2017.12.13,43.08,469626720000
2017.12.14,43.04,405469160000
2017.12.15,43.47,495206360000
2017.12.18,44.11,612318640000
2017.12.19,43.64,564152360000
2017.12.20,43.59,473151720000
2017.12.21,43.75,423341680000
2017.12.22,43.77,302462440000
2017.12.26,42.64,783170440000
2017.12.27,42.65,469352600000
2017.12.28,42.77,386018160000
2017.12.29,42.33,539145520000
2018.01.02,43.07,541151360000
2018.01.03,43.05,628902320000
2018.01.04,43.26,435311960000
2018.01.05,43.74,491281800000
2018.01.08,43.59,429850560000
2018.01.09,43.58,454592560000
2018.01.10,43.56,523751960000
2018.01.11,43.82,372732720000
2018.01.12,44.25,477882720000
2018.01.16,44.05,622407600000
2018.01.17,44.78,755046080000
2018.01.18,44.82,627860600000
2018.01.19,44.61,509439240000
2018.01.22,44.25,542862520000
2018.01.23,44.24,723595600000
2018.01.24,43.55,1076874200000
2018.01.25,42.78,946624480000
2018.01.26,42.86,878352520000
2018.01.29,41.99,1114599880000
2018.01.30,41.74,1006648840000
2018.01.31,41.87,656745760000
2018.02.01,41.93,810932240000
2018.02.02,40.11,1876013600000
2018.02.05,39.12,1627610520000
2018.02.06,40.77,1485673360000
2018.02.07,39.88,1106726720000
2018.02.08,38.79,1093458840000
2018.02.09,39.06,1482687880000
2018.02.12,40.69,1263458640000
2018.02.13,41.09,739203160000
2018.02.14,41.84,859031000000
2018.02.15,43.25,1263066880000
2018.02.16,43.11,938887800000
2018.02.20,42.96,773321880000
2018.02.21,42.77,833189280000
2018.02.22,43.15,725410320000
2018.02.23,43.89,797242480000
2018.02.26,44.75,907407760000
2018.02.27,44.59,839947600000
2018.02.28,44.53,728525880000
2018.03.01,43.74,1118993080000
2018.03.02,44.07,809127160000
2018.03.05,44.21,637080640000
2018.03.06,44.17,534132160000
2018.03.07,43.76,637157880000
2018.03.08,44.24,495001600000
2018.03.09,45.00,641073800000
2018.03.12,45.45,585586240000
2018.03.13,44.96,573661880000
2018.03.14,44.52,437897560000
2018.03.15,44.73,361167520000
2018.03.16,44.49,302285960000
2018.03.19,43.83,539255000000
2018.03.20,43.84,284343120000
2018.03.21,42.86,710513280000
2018.03.22,42.20,695273000000
2018.03.23,41.25,600641320000
2018.03.26,43.19,713020560000
2018.03.27,42.09,845672920000
2018.03.28,41.62,769514240000
2018.03.29,41.97,648129680000
2018.04.02,41.67,703677280000
2018.04.03,42.10,598858560000
2018.04.04,42.90,694154320000
2018.04.05,43.20,563600560000
2018.04.06,42.09,665441000000
2018.04.09,42.52,599609880000
2018.04.10,43.31,599692760000
2018.04.11,43.11,467293440000
2018.04.12,43.54,505422560000
2018.04.13,43.68,482401800000
2018.04.16,43.96,465228880000
2018.04.17,44.56,515997480000
2018.04.18,44.46,432625640000
2018.04.19,43.20,753068440000
2018.04.20,41.43,1489872760000
2018.04.23,41.31,763897080000
2018.04.24,40.72,736198800000
2018.04.25,40.94,577683720000
2018.04.26,41.06,570674640000
2018.04.27,40.58,781958760000
2018.04.30,41.32,910682400000
2018.05.01,42.25,1041018480000
2018.05.02,44.15,1523474520000
2018.05.03,44.22,745845720000
2018.05.04,45.96,1389519880000
2018.05.07,46.29,1114068800000
2018.05.08,46.52,599203000000
2018.05.09,46.84,507116360000
2018.05.10,47.51,665060640000
2018.05.11,47.15,515609960000
2018.05.14,47.04,412901920000
2018.05.15,46.61,454184280000
2018.05.16,47.05,427027240000
2018.05.17,46.75,379895560000
2018.05.18,46.57,346855560000
2018.05.21,46.90,410736040000
2018.05.22,46.82,285573920000
2018.05.23,47.11,316765720000
2018.05.24,47.05,391353520000
2018.05.25,47.15,380390040000
2018.05.29,46.95,436999040000
2018.05.30,46.88,401617200000
2018.05.31,46.72,418217800000
2018.06.01,47.56,496454960000
2018.06.04,47.96,605281320000
2018.06.05,48.33,492776040000
2018.06.06,48.51,396870320000
2018.06.07,48.37,391871600000
2018.06.08,47.88,532228400000
2018.06.11,47.82,407871360000
2018.06.12,48.08,367244360000
2018.06.13,47.68,396344720000
2018.06.14,47.70,413120320000
2018.06.15,47.23,547040680000
2018.06.18,47.19,317807320000
2018.06.19,46.44,673764440000
2018.06.20,46.63,409761680000
2018.06.21,46.37,439602360000
2018.06.22,46.23,320969880000
2018.06.25,45.55,574731560000
2018.06.26,46.11,490503480000
2018.06.27,46.04,484085720000
2018.06.28,46.38,313960600000
2018.06.29,45.73,329976520000
2018.07.02,46.79,329749920000
2018.07.03,46.00,273367440000
2018.07.05,46.35,314730360000
2018.07.06,47.00,324587080000
2018.07.09,47.65,386386080000
2018.07.10,47.60,301167640000
2018.07.11,46.98,323789280000
2018.07.12,47.76,341280040000
2018.07.13,47.84,246099720000
2018.07.16,47.73,288408760000
2018.07.17,47.87,277267200000
2018.07.18,47.60,264907200000
2018.07.19,47.99,348041880000
2018.07.20,47.92,292087520000
2018.07.23,47.90,289822840000
2018.07.24,48.25,342716840000
2018.07.25,48.71,292745080000
2018.07.26,48.56,369334000000
2018.07.27,47.75,447585520000
2018.07.30,47.48,395959680000
2018.07.31,47.66,639505920000
2018.08.01,50.41,1548726200000
2018.08.02,51.84,1523408920000
2018.08.03,52.00,757982240000
2018.08.06,52.27,599279400000
2018.08.07,51.78,603807000000
2018.08.08,51.81,450289560000
2018.08.09,52.22,539227720000
2018.08.10,51.89,481386520000
2018.08.13,52.23,567493280000
2018.08.14,52.44,413748800000
2018.08.15,52.58,577206120000
2018.08.16,53.37,592156880000
2018.08.17,54.40,812820960000
2018.08.20,53.87,691237680000
2018.08.21,53.78,575253080000
2018.08.22,53.77,398091280000
2018.08.23,53.89,410554800000
2018.08.24,54.04,366355240000
2018.08.27,54.50,444712640000
2018.08.28,54.93,506810920000
2018.08.29,55.75,599835160000
2018.08.30,56.27,1148405000000
2018.08.31,56.87,855310480000
2018.09.04,57.09,574239000000
2018.09.05,56.72,729528000000
2018.09.06,55.78,759190720000
2018.09.07,55.36,802570440000
2018.09.10,54.59,838057400000
2018.09.11,55.97,800867600000
2018.09.12,55.25,1177106760000
2018.09.13,56.60,920427080000
2018.09.14,55.91,675167680000
2018.09.17,54.47,789257960000
2018.09.18,54.56,667233720000
2018.09.19,54.59,600318880000
2018.09.20,55.01,518734880000
2018.09.21,54.41,735515120000
2018.09.24,55.20,561400320000
2018.09.25,55.55,458637880000
2018.09.26,55.13,486118560000
2018.09.27,56.28,629099920000
2018.09.28,56.44,399944200000
2018.10.01,56.82,476217560000
2018.10.02,57.32,533779280000
2018.10.03,58.02,642049800000
2018.10.04,56.99,681765200000
2018.10.05,56.07,762472640000
2018.10.08,55.94,587186360000
2018.10.09,56.72,548404200000
2018.10.10,54.10,806007080000
2018.10.11,53.61,1040002240000
2018.10.12,55.54,763790040000
2018.10.15,54.32,627195280000
